id;start_date;end_date;active
1;2024-12-26T23:24:27;2024-12-27T11:11:18;false
2;2024-12-27T11:42:00;2024-12-27T14:17:07;true
3;2024-12-27T07:31:53;2024-12-27T04:05:38;false
4;2024-12-27T09:47:34;2024-12-27T01:07:38;true
5;2024-12-27T04:17:40;2024-12-27T14:04:56;true
6;2024-12-27T08:48:57;2024-12-27T05:57:48;false
7;2024-12-27T17:54:00;2024-12-26T22:55:33;true
8;2024-12-27T15:23:24;2024-12-26T21:57:23;true
9;2024-12-27T04:11:58;2024-12-27T17:55:05;false
10;2024-12-27T13:35:46;2024-12-27T01:08:58;false
